created_at,full_text,quote_count,reply_count,retweet_count,favorite_count,text_cleaned
Sun Jul 30 23:31:49 +0000 2023,@4evaway @banjarbase cocoki di shopee,0,1,0,1,
Sun Jul 30 23:30:22 +0000 2023,info trik cocoki hari ini,0,1,0,1,informasi trik
Sun Jul 30 23:29:40 +0000 2023,main shopee cocoki sampai kebawa mimpi kalau w menang😭👍,0,1,0,0,main terbawa mimpi menang
Sun Jul 30 23:28:59 +0000 2023,pagi yang diawali main cocoki 😂,0,1,0,2,pagi diawali main
Sun Jul 30 23:26:22 +0000 2023,@discountfess kalo cocoki hari ini polanya gimana gaes,0,0,0,0,polanya guys
Sun Jul 30 23:24:40 +0000 2023,sarapan dengan shopee cocoki https://t.co/gnyW1uByb8,0,0,0,0,sarapan
Sun Jul 30 23:22:14 +0000 2023,nambah massa otot tai kucing malah maen syopi cocoki teros ☝️😔,0,0,0,1,bertambah otot tahi kucing main teros
Sun Jul 30 23:21:53 +0000 2023,ya allah mual banget pagi2 main shoppee cocoki https://t.co/lSB8ysFr5N,0,0,0,0,mual pagi main shoppee
Sun Jul 30 23:20:26 +0000 2023,"Seventeen's reaction kalau dicuekin atau dimarahin pacarnya yang sibuk main cocoki, pasti Seungcheol tipe yang langsung transfer duit 1 juta, udah kamu gak usah main game gak jelas itu 100 hari, ini kuganti"". Sedangkan Jeonghan malah sombong karena 5 menit udah kelar. 🥲""",0,0,0,0,seventeen reaction dicuekin dimarahi pacarnya sibuk main seungcheol tipe langsung transfer duit juta main permainan kuganti jeonghan sombong menit kelar
Sun Jul 30 23:16:39 +0000 2023,@tersangcute belajar bersabar bersama cocoki,0,0,0,0,belajar bersabar
Sun Jul 30 23:16:36 +0000 2023,@jungaheon @discountfess Bermain cocoki,0,0,0,0,bermain
Sun Jul 30 23:14:06 +0000 2023,setelah org stres grgr ml ditambah skrg pd stres grgr cocoki😪,0,1,0,0,orang stres gara-gara ml ditambah stres gara-gara
Sun Jul 30 23:13:12 +0000 2023,"Ayo kita main cocoki guys, bismillah ayo menang dong sekali kali😋",0,0,0,0,ayo main teman-teman bismillah ayo menang
Sun Jul 30 23:06:59 +0000 2023,rahasia cocoki level 3: emg gk bisa diselesaikan https://t.co/ok7nc2Cdvz,0,0,0,0,rahasia level diselesaikan
Sun Jul 30 23:06:57 +0000 2023,"Plisss siramin, nnti balik siram kokk Siram Teman sekarang Air-nya 3X Lipat! Klik di sini, ya &gt &gt  https://t.co/7b78PslZRz  Shopee cocoki siram tanam rocky gerung",0,1,0,0,siramkan siram kokk siram teman air lipat klik siram tanam rocky gerung
Sun Jul 30 23:05:33 +0000 2023,cpk bgt main cocoki blm menang2 ampe kebawa mimpi 😭,2,0,0,0,cpk main menang terbawa mimpi
Sun Jul 30 23:03:37 +0000 2023,"@wiinnthepooh @tanyakanrl betul , pgn main shopee cocoki harus dr link teman😭😭🤣",0,0,0,0,main link teman
Sun Jul 30 23:02:50 +0000 2023,"@Exhausted022 @discountfess dari base ini kak, tebak2 gambar itu. nanti bakalan di share info kodenya, bukan dari game kak. kalo game mungkin cocoki yang kakak maksud hehe",0,1,0,0,base tebak gambar share informasi kodenya permainan permainan kakak maksud he
Sun Jul 30 22:59:13 +0000 2023,"@Ilyhoonie1 @asvfles @discountfess iya kak, harus tau pola nya dulu dan bantuan itu di pake di akhir2 banget  aku main nya dog go sblm ada cocoki, literally bikin nangis krn emosi dan blm tau trik nya, kalo uda tau dan menang, stage yg lain jg ga seberapa sulit krn sama trik nya",0,1,0,0,pola bantuan pakai main dog go literally menangis emosi trik menang stage sulit trik
Sun Jul 30 22:51:14 +0000 2023,ntar di kereta mw main sopi cocoki aja deh,0,0,0,0,entar kereta main
Sun Jul 30 22:50:42 +0000 2023,@nttwiin emang cocoki agak asu dikit🤩🤩,0,0,0,0,asu dikit
Sun Jul 30 22:48:11 +0000 2023,normal ga si bangun tidur langsung kepikiran main cocoki,0,0,0,0,normal bangun tidur langsung terpikirkan main
