created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sun Jul 30 23:31:49 +0000 2023;1685795359929552897;"@4evaway @banjarbase cocoki di shopee";0;1;0;1;in;1261972123712516097;1685668633849286656;kurakuraina;https://twitter.com/kurakuraina/status/1685795359929552897
Sun Jul 30 23:30:22 +0000 2023;1685794997755596800;"info trik cocoki hari ini";0;1;0;1;in;1214851074609147906;1685794997755596800;xxxx_ayy;https://twitter.com/xxxx_ayy/status/1685794997755596800
Sun Jul 30 23:29:40 +0000 2023;1685794818788851713;"main shopee cocoki sampai kebawa mimpi kalau w menang😭👍";0;1;0;0;in;949055286;1685794818788851713;dnmrven;https://twitter.com/dnmrven/status/1685794818788851713
Sun Jul 30 23:28:59 +0000 2023;1685794647455715328;"pagi yang diawali main cocoki 😂";0;1;0;2;in;528015782;1685794647455715328;tidaksukaduren;https://twitter.com/tidaksukaduren/status/1685794647455715328
Sun Jul 30 23:26:22 +0000 2023;1685793990363516928;"@discountfess kalo cocoki hari ini polanya gimana gaes";0;0;0;0;in;1496303206292353031;1685452648785592320;rachaj8sng;https://twitter.com/rachaj8sng/status/1685793990363516928
Sun Jul 30 23:24:40 +0000 2023;1685793560690577408;"sarapan dengan shopee cocoki https://t.co/gnyW1uByb8";0;0;0;0;in;1658714392903688192;1685793560690577408;user15180510;https://twitter.com/user15180510/status/1685793560690577408
Sun Jul 30 23:22:14 +0000 2023;1685792951409225729;"nambah massa otot tai kucing malah maen syopi cocoki teros ☝️😔";0;0;0;1;in;1331945160;1685792951409225729;pergafoibe;https://twitter.com/pergafoibe/status/1685792951409225729
Sun Jul 30 23:21:53 +0000 2023;1685792862544539648;"ya allah mual banget pagi2 main shoppee cocoki https://t.co/lSB8ysFr5N";0;0;0;0;in;1256498803080753152;1685792862544539648;lliauf;https://twitter.com/lliauf/status/1685792862544539648
Sun Jul 30 23:20:26 +0000 2023;1685792495303901184;"Seventeen's reaction kalau dicuekin atau dimarahin pacarnya yang sibuk main cocoki, pasti Seungcheol tipe yang langsung transfer duit 1 juta, "udah kamu gak usah main game gak jelas itu 100 hari, ini kuganti". Sedangkan Jeonghan malah sombong karena 5 menit udah kelar. 🥲";0;0;0;0;in;1307441234273730560;1685792495303901184;huiilyu;https://twitter.com/huiilyu/status/1685792495303901184
Sun Jul 30 23:16:39 +0000 2023;1685791546128601089;"@tersangcute belajar bersabar bersama cocoki";0;0;0;0;in;1567905857773641730;1685663328620994560;kebaikann;https://twitter.com/kebaikann/status/1685791546128601089
Sun Jul 30 23:16:36 +0000 2023;1685791533675802624;"@jungaheon @discountfess Bermain cocoki";0;0;0;0;in;955747971148034049;1685637629537361920;dephwyyy;https://twitter.com/dephwyyy/status/1685791533675802624
Sun Jul 30 23:14:06 +0000 2023;1685790902512709632;"setelah org stres grgr ml ditambah skrg pd stres grgr cocoki😪";0;1;0;0;in;1559539782274859008;1685790902512709632;queenformyself_;https://twitter.com/queenformyself_/status/1685790902512709632
Sun Jul 30 23:13:12 +0000 2023;1685790678088110080;"Ayo kita main cocoki guys, bismillah ayo menang dong sekali kali😋";0;0;0;0;in;1532536048085237760;1685790678088110080;nahttawin;https://twitter.com/nahttawin/status/1685790678088110080
Sun Jul 30 23:06:59 +0000 2023;1685789113814032384;"rahasia cocoki level 3: emg gk bisa diselesaikan https://t.co/ok7nc2Cdvz";0;0;0;0;in;1405449246531145733;1685789113814032384;diaesomnia;https://twitter.com/diaesomnia/status/1685789113814032384
Sun Jul 30 23:06:57 +0000 2023;1685789105102393344;"Plisss siramin, nnti balik siram kokk Siram Teman sekarang Air-nya 3X Lipat! Klik di sini, ya &gt &gt  https://t.co/7b78PslZRz  Shopee cocoki siram tanam rocky gerung";0;1;0;0;in;1339054565644148737;1685789105102393344;Beautifullsuzy1;https://twitter.com/Beautifullsuzy1/status/1685789105102393344
Sun Jul 30 23:05:33 +0000 2023;1685788753309376512;"cpk bgt main cocoki blm menang2 ampe kebawa mimpi 😭";2;0;0;0;in;742438092045307904;1685788753309376512;freetag77;https://twitter.com/freetag77/status/1685788753309376512
Sun Jul 30 23:03:37 +0000 2023;1685788266661126144;"@wiinnthepooh @tanyakanrl betul , pgn main shopee cocoki harus dr link teman😭😭🤣";0;0;0;0;in;1082283189278625793;1685511802992644097;jurigterseram;https://twitter.com/jurigterseram/status/1685788266661126144
Sun Jul 30 23:02:50 +0000 2023;1685788067859427328;"@Exhausted022 @discountfess dari base ini kak, tebak2 gambar itu. nanti bakalan di share info kodenya, bukan dari game kak. kalo game mungkin cocoki yang kakak maksud hehe";0;1;0;0;in;2158212186;1685667830107389952;cassielanggg;https://twitter.com/cassielanggg/status/1685788067859427328
Sun Jul 30 22:59:13 +0000 2023;1685787158370828288;"@Ilyhoonie1 @asvfles @discountfess iya kak, harus tau pola nya dulu dan bantuan itu di pake di akhir2 banget  aku main nya dog go sblm ada cocoki, literally bikin nangis krn emosi dan blm tau trik nya, kalo uda tau dan menang, stage yg lain jg ga seberapa sulit krn sama trik nya";0;1;0;0;in;1079557530936700928;1685618743047794688;gforgea;https://twitter.com/gforgea/status/1685787158370828288
Sun Jul 30 22:51:14 +0000 2023;1685785150268092418;"ntar di kereta mw main sopi cocoki aja deh";0;0;0;0;in;1325388839641260032;1685785150268092418;LIUYYACE;https://twitter.com/LIUYYACE/status/1685785150268092418
Sun Jul 30 22:50:42 +0000 2023;1685785015483879425;"@nttwiin emang cocoki agak asu dikit🤩🤩";0;0;0;0;in;1434013538146684929;1685668459345248256;naravitsweet;https://twitter.com/naravitsweet/status/1685785015483879425
Sun Jul 30 22:48:11 +0000 2023;1685784379250139136;"normal ga si bangun tidur langsung kepikiran main cocoki";0;0;0;0;in;1684153733482151938;1685784379250139136;mizselene;https://twitter.com/mizselene/status/1685784379250139136
